 R,T,C,P,IC,RC,CC
   1,   1,   1,     1.2235278821,   1,   1,   1
   1,   1,   2,     1.2235278821,   1,   1,   1
   1,   1,   3,    -1.3259267761,   4,   4,   4
   1,   1,   4,    -1.3259267761,   4,   4,   4
   1,   1,   5,    -1.3574204595,   3,   3,   3
   1,   1,   6,    -1.3099000631,   2,   2,   2
   1,   1,   7,     1.2235278821,   1,   1,   1
   1,   1,   8,     1.2235278821,   1,   1,   1
   1,   1,   9,    -1.3574204595,   3,   3,   3
   1,   1,  10,     1.2235278821,   1,   1,   1
   1,   1,  11,     1.2235278821,   1,   1,   1
   1,   1,  12,     1.2235278821,   1,   1,   1
   1,   1,  13,    -1.3259267761,   4,   4,   4
   1,   1,  14,     1.2235278821,   1,   1,   1
   1,   1,  15,     1.2235278821,   1,   1,   1
   1,   1,  16,     1.2235278821,   1,   1,   1
   1,   1,  17,     1.2235278821,   1,   1,   1
   1,   1,  18,    -1.3574204595,   3,   3,   3
   1,   1,  19,     1.2235278821,   1,   1,   1
   1,   1,  20,    -1.0466758733,   5,   5,   5
   1,   1,  21,     1.2235278821,   1,   1,   1
   1,   1,  22,     1.2235278821,   1,   1,   1
   1,   1,  23,     1.2235278821,   1,   1,   1
   1,   1,  24,     1.2235278821,   1,   1,   1
   1,   1,  25,     1.2235278821,   1,   1,   1
   1,   1,  26,     1.2235278821,   1,   1,   1
   1,   1,  27,     1.2235278821,   1,   1,   1
   1,   1,  28,    -1.3259267761,   4,   4,   4
   1,   1,  29,     1.2235278821,   1,   1,   1
   1,   1,  30,     1.2235278821,   1,   1,   1
   1,   1,  31,     1.2235278821,   1,   1,   1
   1,   1,  32,     1.2235278821,   1,   1,   1
   1,   1,  33,     1.2235278821,   1,   1,   1
   1,   1,  34,     1.2235278821,   1,   1,   1
   1,   1,  35,     1.2235278821,   1,   1,   1
   1,   1,  36,     1.2235278821,   1,   1,   1
   1,   1,  37,    -1.3574204595,   3,   3,   3
   1,   1,  38,     1.2235278821,   1,   1,   1
   1,   1,  39,     1.2235278821,   1,   1,   1
   1,   1,  40,     1.2235278821,   1,   1,   1
   1,   1,  41,     1.2235278821,   1,   1,   1
   1,   1,  42,     1.2235278821,   1,   1,   1
   1,   1,  43,     1.2235278821,   1,   1,   1
   1,   1,  44,    -1.3574204595,   3,   3,   3
   1,   1,  45,    -1.3574204595,   3,   3,   3
   1,   1,  46,     1.2235278821,   1,   1,   1
   1,   1,  47,     1.2235278821,   1,   1,   1
   1,   1,  48,     1.2235278821,   1,   1,   1
   1,   1,  49,     1.2235278821,   1,   1,   1
   1,   1,  50,    -1.3259267761,   4,   4,   4
   1,   1,  51,     1.2235278821,   1,   1,   1
   1,   1,  52,     1.2235278821,   1,   1,   1
   1,   1,  53,     1.2235278821,   1,   1,   1
   1,   1,  54,    -1.0466758733,   5,   5,   5
   1,   1,  55,     1.2235278821,   1,   1,   1
   1,   1,  56,     1.2235278821,   1,   1,   1
   1,   1,  57,     1.2235278821,   1,   1,   1
   1,   1,  58,     1.2235278821,   1,   1,   1
   1,   1,  59,     1.2235278821,   1,   1,   1
   1,   1,  60,     1.2235278821,   1,   1,   1
   1,   1,  61,     1.2235278821,   1,   1,   1
   1,   1,  62,    -1.3259267761,   4,   4,   4
   1,   1,  63,     1.2235278821,   1,   1,   1
   1,   1,  64,     1.2235278821,   1,   1,   1
   1,   1,  65,     1.3987483827,   3,   3,   3
   1,   1,  66,     1.3040210941,   2,   2,   2
   1,   1,  67,     1.3987483827,   3,   3,   3
   1,   1,  68,     0.1497018784,   1,   1,   1
   1,   1,  69,     0.1497018784,   1,   1,   1
   1,   1,  70,     0.1497018784,   1,   1,   1
   1,   1,  71,     0.1497018784,   1,   1,   1
   1,   1,  72,     0.1497018784,   1,   1,   1
