 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.8111710288,   3,   3,   3
   1,   1,   2,     1.1295725428,   1,   1,   1
   1,   1,   3,     1.0381263430,   2,   2,   2
   1,   1,   4,     1.0381263430,   2,   2,   2
   1,   1,   5,     1.0381263430,   2,   2,   2
   1,   1,   6,     1.0381263430,   2,   2,   2
   1,   1,   7,     1.0381263430,   2,   2,   2
   1,   1,   8,     0.3590465904,   4,   4,   4
   1,   1,   9,     1.1295725428,   1,   1,   1
   1,   1,  10,     1.1295725428,   1,   1,   1
   1,   1,  11,     0.3590465904,   4,   4,   4
   1,   1,  12,     1.0381263430,   2,   2,   2
   1,   1,  13,     1.1295725428,   1,   1,   1
   1,   1,  14,     1.0381263430,   2,   2,   2
   1,   1,  15,     0.3590465904,   4,   4,   4
   1,   1,  16,     1.0381263430,   2,   2,   2
   1,   1,  17,     1.1295725428,   1,   1,   1
   1,   1,  18,     1.0381263430,   2,   2,   2
   1,   1,  19,     1.1295725428,   1,   1,   1
   1,   1,  20,     1.0381263430,   2,   2,   2
   1,   1,  21,     0.3590465904,   4,   4,   4
   1,   1,  22,     1.0381263430,   2,   2,   2
   1,   1,  23,     0.8111710288,   3,   3,   3
   1,   1,  24,     1.0381263430,   2,   2,   2
   1,   1,  25,     1.0381263430,   2,   2,   2
   1,   1,  26,     1.0381263430,   2,   2,   2
   1,   1,  27,     0.3590465904,   4,   4,   4
   1,   1,  28,     0.8111710288,   3,   3,   3
   1,   1,  29,     1.0381263430,   2,   2,   2
   1,   1,  30,     1.0381263430,   2,   2,   2
   1,   1,  31,     1.0381263430,   2,   2,   2
   1,   1,  32,    -0.8596372054,   5,   5,   5
   1,   1,  33,     0.8111710288,   3,   3,   3
   1,   1,  34,     1.0724448594,   5,   5,   5
   1,   1,  35,     0.2467337335,   2,   2,   2
   1,   1,  36,     1.0724448594,   5,   5,   5
   1,   1,  37,     1.0724448594,   5,   5,   5
   1,   1,  38,     0.9192814360,   4,   4,   4
   1,   1,  39,     1.0724448594,   5,   5,   5
   1,   1,  40,    -0.1129025214,   1,   1,   1
   1,   1,  41,     1.0724448594,   5,   5,   5
   1,   1,  42,     1.0724448594,   5,   5,   5
   1,   1,  43,     1.0724448594,   5,   5,   5
   1,   1,  44,    -0.1129025214,   1,   1,   1
   1,   1,  45,     1.0724448594,   5,   5,   5
   1,   1,  46,     0.9192814360,   4,   4,   4
   1,   1,  47,     1.0724448594,   5,   5,   5
   1,   1,  48,     0.2467337335,   2,   2,   2
   1,   1,  49,     0.9192814360,   4,   4,   4
   1,   1,  50,    -0.1129025214,   1,   1,   1
   1,   1,  51,     1.0724448594,   5,   5,   5
   1,   1,  52,     1.0724448594,   5,   5,   5
   1,   1,  53,     0.6124429952,   3,   3,   3
   1,   1,  54,     1.0724448594,   5,   5,   5
   1,   1,  55,     1.0724448594,   5,   5,   5
   1,   1,  56,     1.0724448594,   5,   5,   5
   1,   1,  57,     1.0724448594,   5,   5,   5
   1,   1,  58,     0.9192814360,   4,   4,   4
   1,   1,  59,     1.0724448594,   5,   5,   5
   1,   1,  60,     1.0724448594,   5,   5,   5
   1,   1,  61,     0.9192814360,   4,   4,   4
   1,   1,  62,     0.6124429952,   3,   3,   3
   1,   1,  63,     1.0724448594,   5,   5,   5
   1,   1,  64,     0.2467337335,   2,   2,   2
   1,   1,  65,     1.0724448594,   5,   5,   5
   1,   1,  66,     0.9192814360,   4,   4,   4
   1,   1,  67,     1.0724448594,   5,   5,   5
   1,   1,  68,     0.6124429952,   3,   3,   3
   1,   1,  69,     1.0724448594,   5,   5,   5
   1,   1,  70,     0.9192814360,   4,   4,   4
   1,   1,  71,     1.0724448594,   5,   5,   5
   1,   1,  72,     1.0724448594,   5,   5,   5
   1,   1,  73,     0.9192814360,   4,   4,   4
   1,   1,  74,     0.9192814360,   4,   4,   4
   1,   1,  75,     1.0724448594,   5,   5,   5
   1,   1,  76,     1.0724448594,   5,   5,   5
   1,   1,  77,     1.0724448594,   5,   5,   5
   1,   1,  78,     1.0724448594,   5,   5,   5
   1,   1,  79,     0.9192814360,   4,   4,   4
   1,   1,  80,     1.0724448594,   5,   5,   5
   1,   1,  81,     0.9192814360,   4,   4,   4
   1,   1,  82,     0.6124429952,   3,   3,   3
   1,   1,  83,     0.2467337335,   2,   2,   2
   1,   1,  84,     1.0724448594,   5,   5,   5
   1,   1,  85,     0.9192814360,   4,   4,   4
   1,   1,  86,     1.0724448594,   5,   5,   5
   1,   1,  87,     0.9192814360,   4,   4,   4
   1,   1,  88,     1.0724448594,   5,   5,   5
   1,   1,  89,     1.0724448594,   5,   5,   5
   1,   1,  90,     0.9192814360,   4,   4,   4
   1,   1,  91,     0.2467337335,   2,   2,   2
   1,   1,  92,     1.0724448594,   5,   5,   5
   1,   1,  93,     0.6124429952,   3,   3,   3
   1,   1,  94,     1.0724448594,   5,   5,   5
   1,   1,  95,     1.0724448594,   5,   5,   5
   1,   1,  96,     1.0724448594,   5,   5,   5
   1,   1,  97,     1.0724448594,   5,   5,   5
   1,   1,  98,    -0.1129025214,   1,   1,   1
   1,   1,  99,     0.9192814360,   4,   4,   4
   1,   1, 100,     1.0724448594,   5,   5,   5
   2,   1,   1,    -0.1558058136,   4,   4,   4
   2,   1,   2,     1.0369483806,   2,   2,   2
   2,   1,   3,     0.7317570997,   3,   3,   3
   2,   1,   4,     1.0369483806,   2,   2,   2
   2,   1,   5,     1.0369483806,   2,   2,   2
   2,   1,   6,     1.1429630262,   1,   1,   1
   2,   1,   7,     0.7317570997,   3,   3,   3
   2,   1,   8,    -0.1558058136,   4,   4,   4
   2,   1,   9,     1.0369483806,   2,   2,   2
   2,   1,  10,     1.1429630262,   1,   1,   1
   2,   1,  11,     1.1429630262,   1,   1,   1
   2,   1,  12,     1.0369483806,   2,   2,   2
   2,   1,  13,     1.0369483806,   2,   2,   2
   2,   1,  14,     1.0369483806,   2,   2,   2
   2,   1,  15,     1.0369483806,   2,   2,   2
   2,   1,  16,     0.7317570997,   3,   3,   3
   2,   1,  17,     1.0369483806,   2,   2,   2
   2,   1,  18,     1.0369483806,   2,   2,   2
   2,   1,  19,    -0.1558058136,   4,   4,   4
   2,   1,  20,     1.1429630262,   1,   1,   1
   2,   1,  21,     0.7317570997,   3,   3,   3
   2,   1,  22,     1.0369483806,   2,   2,   2
   2,   1,  23,     1.0369483806,   2,   2,   2
   2,   1,  24,     0.7317570997,   3,   3,   3
   2,   1,  25,     0.7317570997,   3,   3,   3
   2,   1,  26,     1.1429630262,   1,   1,   1
   2,   1,  27,     0.7317570997,   3,   3,   3
   2,   1,  28,     1.1429630262,   1,   1,   1
   2,   1,  29,     1.1429630262,   1,   1,   1
   2,   1,  30,     1.1429630262,   1,   1,   1
   2,   1,  31,     1.1429630262,   1,   1,   1
   2,   1,  32,     1.0369483806,   2,   2,   2
   2,   1,  33,     1.0369483806,   2,   2,   2
   2,   1,  34,     1.0530787392,   4,   4,   4
   2,   1,  35,     1.0530787392,   4,   4,   4
   2,   1,  36,     1.0530787392,   4,   4,   4
   2,   1,  37,     1.0530787392,   4,   4,   4
   2,   1,  38,     1.0530787392,   4,   4,   4
   2,   1,  39,     1.0530787392,   4,   4,   4
   2,   1,  40,     1.0530787392,   4,   4,   4
   2,   1,  41,     0.7233162916,   3,   3,   3
   2,   1,  42,     0.7233162916,   3,   3,   3
