 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.9934459356,   2,   2,   2
   1,   1,   2,     0.8822483174,   3,   3,   3
   1,   1,   3,     0.9934459356,   2,   2,   2
   1,   1,   4,     0.9934459356,   2,   2,   2
   1,   1,   5,     0.8822483174,   3,   3,   3
   1,   1,   6,     0.5331595746,   4,   4,   4
   1,   1,   7,     0.9934459356,   2,   2,   2
   1,   1,   8,     0.8822483174,   3,   3,   3
   1,   1,   9,     0.8822483174,   3,   3,   3
   1,   1,  10,     0.9934459356,   2,   2,   2
   1,   1,  11,     0.9934459356,   2,   2,   2
   1,   1,  12,     0.8822483174,   3,   3,   3
   1,   1,  13,     0.8822483174,   3,   3,   3
   1,   1,  14,     0.8822483174,   3,   3,   3
   1,   1,  15,     1.0296897899,   1,   1,   1
   1,   1,  16,     0.9934459356,   2,   2,   2
   1,   1,  17,     0.9934459356,   2,   2,   2
   1,   1,  18,     1.0296897899,   1,   1,   1
   1,   1,  19,     0.9934459356,   2,   2,   2
   1,   1,  20,     0.9934459356,   2,   2,   2
   1,   1,  21,     0.8822483174,   3,   3,   3
   1,   1,  22,     0.9934459356,   2,   2,   2
   1,   1,  23,     1.0296897899,   1,   1,   1
   1,   1,  24,     0.9934459356,   2,   2,   2
   1,   1,  25,     0.9934459356,   2,   2,   2
   1,   1,  26,     0.8822483174,   3,   3,   3
   1,   1,  27,     0.9934459356,   2,   2,   2
   1,   1,  28,     0.9934459356,   2,   2,   2
   1,   1,  29,     0.9934459356,   2,   2,   2
   1,   1,  30,     0.9934459356,   2,   2,   2
   1,   1,  31,     0.9934459356,   2,   2,   2
   1,   1,  32,     0.9934459356,   2,   2,   2
   1,   1,  33,     0.9934459356,   2,   2,   2
   1,   1,  34,     1.0296897899,   1,   1,   1
   1,   1,  35,     0.8822483174,   3,   3,   3
   1,   1,  36,     0.9934459356,   2,   2,   2
   1,   1,  37,     0.8822483174,   3,   3,   3
   1,   1,  38,     0.9934459356,   2,   2,   2
   1,   1,  39,     0.8822483174,   3,   3,   3
   1,   1,  40,     0.9934459356,   2,   2,   2
   1,   1,  41,     0.9934459356,   2,   2,   2
   1,   1,  42,     0.9934459356,   2,   2,   2
   1,   1,  43,     0.9934459356,   2,   2,   2
   1,   1,  44,     0.9934459356,   2,   2,   2
   1,   1,  45,     0.8822483174,   3,   3,   3
   1,   1,  46,     1.0296897899,   1,   1,   1
   1,   1,  47,     0.5331595746,   4,   4,   4
   1,   1,  48,     1.0296897899,   1,   1,   1
   1,   1,  49,     0.9934459356,   2,   2,   2
   1,   1,  50,     0.9934459356,   2,   2,   2
   1,   1,  51,     0.9934459356,   2,   2,   2
   1,   1,  52,     0.9934459356,   2,   2,   2
   1,   1,  53,     0.8822483174,   3,   3,   3
   1,   1,  54,     0.9934459356,   2,   2,   2
   1,   1,  55,     0.9934459356,   2,   2,   2
   1,   1,  56,     0.9934459356,   2,   2,   2
   1,   1,  57,     0.9934459356,   2,   2,   2
   1,   1,  58,     0.8822483174,   3,   3,   3
   1,   1,  59,     0.9934459356,   2,   2,   2
   1,   1,  60,     0.8822483174,   3,   3,   3
   1,   1,  61,     0.8822483174,   3,   3,   3
   1,   1,  62,     0.9934459356,   2,   2,   2
   1,   1,  63,     0.8822483174,   3,   3,   3
   1,   1,  64,     0.9934459356,   2,   2,   2
   1,   1,  65,     0.8822483174,   3,   3,   3
   1,   1,  66,     0.9934459356,   2,   2,   2
   1,   1,  67,     0.8822483174,   3,   3,   3
   1,   1,  68,     0.9934459356,   2,   2,   2
   1,   1,  69,     0.8822483174,   3,   3,   3
   1,   1,  70,     0.9934459356,   2,   2,   2
   1,   1,  71,     0.5331595746,   4,   4,   4
   1,   1,  72,     0.9934459356,   2,   2,   2
   1,   1,  73,     0.8822483174,   3,   3,   3
   1,   1,  74,     0.9934459356,   2,   2,   2
   1,   1,  75,     0.9934459356,   2,   2,   2
   1,   1,  76,     0.8822483174,   3,   3,   3
   1,   1,  77,     0.8822483174,   3,   3,   3
   1,   1,  78,     0.9934459356,   2,   2,   2
   1,   1,  79,     0.8822483174,   3,   3,   3
   1,   1,  80,    -0.0721810547,   5,   5,   5
   1,   1,  81,     0.9934459356,   2,   2,   2
   1,   1,  82,     0.9934459356,   2,   2,   2
   1,   1,  83,     0.8822483174,   3,   3,   3
   1,   1,  84,     0.9934459356,   2,   2,   2
   1,   1,  85,     0.9934459356,   2,   2,   2
   1,   1,  86,     0.9934459356,   2,   2,   2
   1,   1,  87,     0.5331595746,   4,   4,   4
   1,   1,  88,     0.9934459356,   2,   2,   2
   1,   1,  89,     0.9934459356,   2,   2,   2
   1,   1,  90,     0.9934459356,   2,   2,   2
   1,   1,  91,    -0.5485806449,   6,   6,   6
   1,   1,  92,     0.8822483174,   3,   3,   3
   1,   1,  93,     0.9934459356,   2,   2,   2
   1,   1,  94,     1.0296897899,   1,   1,   1
   1,   1,  95,     0.9934459356,   2,   2,   2
   1,   1,  96,     1.0296897899,   1,   1,   1
   1,   1,  97,     0.8822483174,   3,   3,   3
   1,   1,  98,     0.8822483174,   3,   3,   3
   1,   1,  99,     0.9934459356,   2,   2,   2
   1,   1, 100,     0.9934459356,   2,   2,   2
   1,   1, 101,     1.0943045528,   6,   6,   6
   1,   1, 102,     1.0647396680,   5,   5,   5
   1,   1, 103,     1.0943045528,   6,   6,   6
   1,   1, 104,    -0.0284995160,   2,   2,   2
   1,   1, 105,     1.0943045528,   6,   6,   6
   1,   1, 106,     1.0943045528,   6,   6,   6
   1,   1, 107,     0.9772330203,   4,   4,   4
   1,   1, 108,     0.6287014251,   3,   3,   3
   1,   1, 109,     0.9772330203,   4,   4,   4
   1,   1, 110,     1.0943045528,   6,   6,   6
   1,   1, 111,     1.0647396680,   5,   5,   5
   1,   1, 112,     0.6287014251,   3,   3,   3
   1,   1, 113,     0.9772330203,   4,   4,   4
   1,   1, 114,    -0.5376369734,   1,   1,   1
   1,   1, 115,     0.6287014251,   3,   3,   3
   1,   1, 116,     0.6287014251,   3,   3,   3
   1,   1, 117,     0.9772330203,   4,   4,   4
   1,   1, 118,     1.0943045528,   6,   6,   6
   1,   1, 119,     1.0647396680,   5,   5,   5
   1,   1, 120,     1.0943045528,   6,   6,   6
   1,   1, 121,     0.9772330203,   4,   4,   4
   1,   1, 122,     1.0943045528,   6,   6,   6
   1,   1, 123,     1.0943045528,   6,   6,   6
   1,   1, 124,     0.9772330203,   4,   4,   4
   1,   1, 125,     1.0943045528,   6,   6,   6
   1,   1, 126,     1.0943045528,   6,   6,   6
   1,   1, 127,     1.0943045528,   6,   6,   6
   1,   1, 128,     1.0647396680,   5,   5,   5
   1,   1, 129,     1.0943045528,   6,   6,   6
   1,   1, 130,     1.0943045528,   6,   6,   6
   1,   1, 131,     1.0647396680,   5,   5,   5
   1,   1, 132,     1.0647396680,   5,   5,   5
   1,   1, 133,     1.0647396680,   5,   5,   5
   1,   1, 134,     1.0943045528,   6,   6,   6
   1,   1, 135,     1.0943045528,   6,   6,   6
   1,   1, 136,     1.0647396680,   5,   5,   5
   1,   1, 137,     1.0647396680,   5,   5,   5
   1,   1, 138,    -0.0284995160,   2,   2,   2
   1,   1, 139,     0.9772330203,   4,   4,   4
   1,   1, 140,     1.0647396680,   5,   5,   5
   1,   1, 141,     1.0647396680,   5,   5,   5
   1,   1, 142,    -0.0284995160,   2,   2,   2
   1,   1, 143,     1.0943045528,   6,   6,   6
   1,   1, 144,     1.0647396680,   5,   5,   5
   1,   1, 145,    -0.0284995160,   2,   2,   2
   1,   1, 146,     1.0943045528,   6,   6,   6
   1,   1, 147,     0.6287014251,   3,   3,   3
   1,   1, 148,    -0.5376369734,   1,   1,   1
   1,   1, 149,     1.0943045528,   6,   6,   6
   1,   1, 150,     1.0647396680,   5,   5,   5
   1,   1, 151,     1.0943045528,   6,   6,   6
   1,   1, 152,     1.0943045528,   6,   6,   6
   1,   1, 153,     1.0943045528,   6,   6,   6
   1,   1, 154,     0.6287014251,   3,   3,   3
   1,   1, 155,     0.9772330203,   4,   4,   4
   1,   1, 156,     1.0943045528,   6,   6,   6
   1,   1, 157,     1.0647396680,   5,   5,   5
   1,   1, 158,    -0.0284995160,   2,   2,   2
   1,   1, 159,     0.6287014251,   3,   3,   3
   1,   1, 160,     0.9772330203,   4,   4,   4
   1,   1, 161,     1.0943045528,   6,   6,   6
   1,   1, 162,     1.0647396680,   5,   5,   5
   1,   1, 163,     1.0647396680,   5,   5,   5
   1,   1, 164,     0.6287014251,   3,   3,   3
   1,   1, 165,     1.0943045528,   6,   6,   6
   1,   1, 166,     1.0647396680,   5,   5,   5
   1,   1, 167,     1.0647396680,   5,   5,   5
   1,   1, 168,    -0.5376369734,   1,   1,   1
   1,   1, 169,     1.0943045528,   6,   6,   6
   1,   1, 170,     1.0647396680,   5,   5,   5
   1,   1, 171,     1.0943045528,   6,   6,   6
   1,   1, 172,     1.0943045528,   6,   6,   6
   1,   1, 173,    -0.0284995160,   2,   2,   2
   1,   1, 174,     1.0943045528,   6,   6,   6
   1,   1, 175,     1.0943045528,   6,   6,   6
   1,   1, 176,     1.0647396680,   5,   5,   5
   1,   1, 177,     1.0943045528,   6,   6,   6
   1,   1, 178,     1.0943045528,   6,   6,   6
   1,   1, 179,     1.0943045528,   6,   6,   6
   1,   1, 180,     1.0647396680,   5,   5,   5
   1,   1, 181,     1.0647396680,   5,   5,   5
   1,   1, 182,     1.0943045528,   6,   6,   6
   1,   1, 183,     1.0943045528,   6,   6,   6
   1,   1, 184,     0.9772330203,   4,   4,   4
   1,   1, 185,     1.0943045528,   6,   6,   6
   1,   1, 186,     1.0943045528,   6,   6,   6
   1,   1, 187,     1.0647396680,   5,   5,   5
   1,   1, 188,     1.0943045528,   6,   6,   6
   1,   1, 189,     1.0647396680,   5,   5,   5
   1,   1, 190,     0.9772330203,   4,   4,   4
   1,   1, 191,     0.6287014251,   3,   3,   3
   1,   1, 192,     1.0943045528,   6,   6,   6
   1,   1, 193,     1.0943045528,   6,   6,   6
   1,   1, 194,     1.0647396680,   5,   5,   5
   1,   1, 195,     1.0647396680,   5,   5,   5
   1,   1, 196,     1.0647396680,   5,   5,   5
   1,   1, 197,     1.0647396680,   5,   5,   5
   1,   1, 198,     1.0943045528,   6,   6,   6
   1,   1, 199,     1.0943045528,   6,   6,   6
   1,   1, 200,     1.0943045528,   6,   6,   6
   2,   1,   1,     0.9499245321,   1,   1,   1
   2,   1,   2,     0.9499245321,   1,   1,   1
   2,   1,   3,     0.9499245321,   1,   1,   1
   2,   1,   4,     0.9499245321,   1,   1,   1
   2,   1,   5,     0.9499245321,   1,   1,   1
   2,   1,   6,     0.9499245321,   1,   1,   1
   2,   1,   7,     0.9499245321,   1,   1,   1
   2,   1,   8,     0.9499245321,   1,   1,   1
   2,   1,   9,     0.9499245321,   1,   1,   1
   2,   1,  10,     0.9499245321,   1,   1,   1
   2,   1,  11,     0.9499245321,   1,   1,   1
   2,   1,  12,     0.9499245321,   1,   1,   1
   2,   1,  13,     0.9499245321,   1,   1,   1
   2,   1,  14,     0.9499245321,   1,   1,   1
   2,   1,  15,     0.9499245321,   1,   1,   1
   2,   1,  16,     0.9499245321,   1,   1,   1
   2,   1,  17,     0.9499245321,   1,   1,   1
   2,   1,  18,     0.9499245321,   1,   1,   1
   2,   1,  19,     0.9499245321,   1,   1,   1
   2,   1,  20,     0.9402278427,   2,   2,   2
   2,   1,  21,     0.9402278427,   2,   2,   2
   2,   1,  22,     0.9402278427,   2,   2,   2
   2,   1,  23,     0.9402278427,   2,   2,   2
   2,   1,  24,     0.9402278427,   2,   2,   2
   2,   1,  25,     0.9402278427,   2,   2,   2
   2,   1,  26,     0.9402278427,   2,   2,   2
   2,   1,  27,     0.9402278427,   2,   2,   2
   2,   1,  28,     0.9402278427,   2,   2,   2
   2,   1,  29,     0.9402278427,   2,   2,   2
   2,   1,  30,     0.9402278427,   2,   2,   2
   2,   1,  31,     0.9402278427,   2,   2,   2
   2,   1,  32,     0.9402278427,   2,   2,   2
   2,   1,  33,     0.9402278427,   2,   2,   2
   2,   1,  34,     0.9402278427,   2,   2,   2
   2,   1,  35,     0.9402278427,   2,   2,   2
   2,   1,  36,     0.9402278427,   2,   2,   2
   2,   1,  37,     0.9402278427,   2,   2,   2
