 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.9365924404,   1,   1,   1
   1,   1,   2,     0.9365924404,   1,   1,   1
   1,   1,   3,     0.9365924404,   1,   1,   1
   1,   1,   4,     0.9365924404,   1,   1,   1
   1,   1,   5,     0.9365924404,   1,   1,   1
   1,   1,   6,     0.9365924404,   1,   1,   1
   1,   1,   7,     0.9365924404,   1,   1,   1
   1,   1,   8,     0.9365924404,   1,   1,   1
   1,   1,   9,     0.9365924404,   1,   1,   1
   1,   1,  10,     0.9365924404,   1,   1,   1
   1,   1,  11,     0.9365924404,   1,   1,   1
   1,   1,  12,     0.9365924404,   1,   1,   1
   1,   1,  13,     0.9365924404,   1,   1,   1
   1,   1,  14,     0.9365924404,   1,   1,   1
   1,   1,  15,     0.9365924404,   1,   1,   1
   1,   1,  16,     0.9365924404,   1,   1,   1
   1,   1,  17,     0.9365924404,   1,   1,   1
   1,   1,  18,     0.9365924404,   1,   1,   1
   1,   1,  19,     0.9301465851,   2,   2,   2
   1,   1,  20,     0.9301465851,   2,   2,   2
   1,   1,  21,     0.9217842625,   3,   3,   3
   1,   1,  22,     0.9217842625,   3,   3,   3
   1,   1,  23,     0.9217842625,   3,   3,   3
   1,   1,  24,     0.9217842625,   3,   3,   3
   1,   1,  25,     0.9217842625,   3,   3,   3
   1,   1,  26,     0.9121750498,   4,   4,   4
   1,   1,  27,     0.9121750498,   4,   4,   4
   1,   1,  28,     0.9121750498,   4,   4,   4
   1,   1,  29,     0.9121750498,   4,   4,   4
   1,   1,  30,     0.9121750498,   4,   4,   4
   1,   1,  31,     0.9121750498,   4,   4,   4
   1,   1,  32,     0.9121750498,   4,   4,   4
   1,   1,  33,     0.9121750498,   4,   4,   4
   1,   1,  34,     0.9121750498,   4,   4,   4
   1,   1,  35,     0.8249174683,   5,   5,   5
   1,   1,  36,     0.8249174683,   5,   5,   5
   1,   1,  37,     0.8249174683,   5,   5,   5
   1,   1,  38,     0.8249174683,   5,   5,   5
   1,   1,  39,     0.8249174683,   5,   5,   5
   1,   1,  40,     0.5570053551,   6,   6,   6
   1,   1,  41,     0.5570053551,   6,   6,   6
   1,   1,  42,     0.5570053551,   6,   6,   6
   1,   1,  43,     0.5570053551,   6,   6,   6
   1,   1,  44,     0.5570053551,   6,   6,   6
   1,   1,  45,     0.5570053551,   6,   6,   6
   1,   1,  46,     0.2332060577,   1,   1,   1
   1,   1,  47,     0.2332060577,   1,   1,   1
   1,   1,  48,     0.2332060577,   1,   1,   1
   1,   1,  49,     0.2518542939,   2,   2,   2
   1,   1,  50,     0.2518542939,   2,   2,   2
   1,   1,  51,     0.2661482804,   3,   3,   3
   1,   1,  52,     0.2661482804,   3,   3,   3
   1,   1,  53,     0.3146311326,   4,   4,   4
   1,   1,  54,     0.4181838934,   5,   5,   5
   1,   1,  55,     0.4181838934,   5,   5,   5
   1,   1,  56,     0.4181838934,   5,   5,   5
   1,   1,  57,     0.4181838934,   5,   5,   5
   1,   1,  58,     0.4181838934,   5,   5,   5
   1,   1,  59,     0.4181838934,   5,   5,   5
   1,   1,  60,     0.4181838934,   5,   5,   5
   1,   1,  61,     0.4181838934,   5,   5,   5
