 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.9367297430,   1,   1,   1
   1,   1,   2,     0.9367297430,   1,   1,   1
   1,   1,   3,     0.9367297430,   1,   1,   1
   1,   1,   4,     0.9367297430,   1,   1,   1
   1,   1,   5,     0.9367297430,   1,   1,   1
   1,   1,   6,     0.9367297430,   1,   1,   1
   1,   1,   7,     0.9367297430,   1,   1,   1
   1,   1,   8,     0.9367297430,   1,   1,   1
   1,   1,   9,     0.9367297430,   1,   1,   1
   1,   1,  10,     0.9367297430,   1,   1,   1
   1,   1,  11,     0.9367297430,   1,   1,   1
   1,   1,  12,     0.9367297430,   1,   1,   1
   1,   1,  13,     0.9367297430,   1,   1,   1
   1,   1,  14,     0.9367297430,   1,   1,   1
   1,   1,  15,     0.9367297430,   1,   1,   1
   1,   1,  16,     0.9367297430,   1,   1,   1
   1,   1,  17,     0.9367297430,   1,   1,   1
   1,   1,  18,     0.9367297430,   1,   1,   1
   1,   1,  19,     0.9367297430,   1,   1,   1
   1,   1,  20,     0.9367297430,   1,   1,   1
   1,   1,  21,     0.9367297430,   1,   1,   1
   1,   1,  22,     0.9367297430,   1,   1,   1
   1,   1,  23,     0.8768563745,   2,   2,   2
   1,   1,  24,     0.8768563745,   2,   2,   2
   1,   1,  25,     0.8768563745,   2,   2,   2
   1,   1,  26,     0.8768563745,   2,   2,   2
   1,   1,  27,     0.8768563745,   2,   2,   2
   1,   1,  28,     0.8768563745,   2,   2,   2
   1,   1,  29,     0.8768563745,   2,   2,   2
   1,   1,  30,     0.8768563745,   2,   2,   2
   1,   1,  31,     0.8768563745,   2,   2,   2
   1,   1,  32,     0.8768563745,   2,   2,   2
   1,   1,  33,     0.8768563745,   2,   2,   2
   1,   1,  34,     0.8768563745,   2,   2,   2
   1,   1,  35,     0.8768563745,   2,   2,   2
   1,   1,  36,     0.8768563745,   2,   2,   2
   1,   1,  37,     0.8768563745,   2,   2,   2
   1,   1,  38,     0.8768563745,   2,   2,   2
   1,   1,  39,     0.7403114018,   3,   3,   3
   1,   1,  40,     0.7403114018,   3,   3,   3
   1,   1,  41,     0.7403114018,   3,   3,   3
   1,   1,  42,    -0.0908317910,   4,   4,   4
   1,   1,  43,    -0.0908317910,   4,   4,   4
   1,   1,  44,    -0.0908317910,   4,   4,   4
   1,   1,  45,    -0.0908317910,   4,   4,   4
   1,   1,  46,    -0.0908317910,   4,   4,   4
   1,   1,  47,    -0.0908317910,   4,   4,   4
   1,   1,  48,    -0.0360121684,   1,   1,   1
   1,   1,  49,    -0.0360121684,   1,   1,   1
   1,   1,  50,    -0.0360121684,   1,   1,   1
   1,   1,  51,    -0.0360121684,   1,   1,   1
   1,   1,  52,    -0.0360121684,   1,   1,   1
   1,   1,  53,    -0.0360121684,   1,   1,   1
   1,   1,  54,    -0.0360121684,   1,   1,   1
