 R,T,C,P,IC,RC,CC
   1,   1,   1,     1.0019369426,   2,   2,   2
   1,   1,   2,     0.8683331521,   3,   3,   3
   1,   1,   3,     1.0817811716,   1,   1,   1
   1,   1,   4,     1.0817811716,   1,   1,   1
   1,   1,   5,     1.0817811716,   1,   1,   1
   1,   1,   6,     0.8683331521,   3,   3,   3
   1,   1,   7,     1.0817811716,   1,   1,   1
   1,   1,   8,     1.0019369426,   2,   2,   2
   1,   1,   9,     0.8683331521,   3,   3,   3
   1,   1,  10,     0.8683331521,   3,   3,   3
   1,   1,  11,     1.0019369426,   2,   2,   2
   1,   1,  12,     1.0019369426,   2,   2,   2
   1,   1,  13,     0.5754846517,   5,   5,   5
   1,   1,  14,     1.0019369426,   2,   2,   2
   1,   1,  15,     1.0817811716,   1,   1,   1
   1,   1,  16,     1.0817811716,   1,   1,   1
   1,   1,  17,     0.8683331521,   3,   3,   3
   1,   1,  18,     0.4030481596,   6,   6,   6
   1,   1,  19,     1.0019369426,   2,   2,   2
   1,   1,  20,     1.0019369426,   2,   2,   2
   1,   1,  21,     1.0817811716,   1,   1,   1
   1,   1,  22,     1.0019369426,   2,   2,   2
   1,   1,  23,     1.0817811716,   1,   1,   1
   1,   1,  24,     0.8683331521,   3,   3,   3
   1,   1,  25,     1.0019369426,   2,   2,   2
   1,   1,  26,     0.4030481596,   6,   6,   6
   1,   1,  27,     0.8683331521,   3,   3,   3
   1,   1,  28,     0.8683331521,   3,   3,   3
   1,   1,  29,     1.0019369426,   2,   2,   2
   1,   1,  30,     1.0019369426,   2,   2,   2
   1,   1,  31,     0.8683331521,   3,   3,   3
   1,   1,  32,     1.0019369426,   2,   2,   2
   1,   1,  33,     0.8683331521,   3,   3,   3
   1,   1,  34,     0.8683331521,   3,   3,   3
   1,   1,  35,     0.8683331521,   3,   3,   3
   1,   1,  36,     0.8683331521,   3,   3,   3
   1,   1,  37,     0.8683331521,   3,   3,   3
   1,   1,  38,     1.0019369426,   2,   2,   2
   1,   1,  39,     0.8683331521,   3,   3,   3
   1,   1,  40,     0.7391108633,   4,   4,   4
   1,   1,  41,     1.0019369426,   2,   2,   2
   1,   1,  42,     1.0019369426,   2,   2,   2
   1,   1,  43,     1.0019369426,   2,   2,   2
   1,   1,  44,     1.0019369426,   2,   2,   2
   1,   1,  45,     0.7391108633,   4,   4,   4
   1,   1,  46,     1.0019369426,   2,   2,   2
   1,   1,  47,     0.8683331521,   3,   3,   3
   1,   1,  48,     1.0019369426,   2,   2,   2
   1,   1,  49,     0.5754846517,   5,   5,   5
   1,   1,  50,     1.0019369426,   2,   2,   2
   1,   1,  51,     1.0019369426,   2,   2,   2
   1,   1,  52,     0.7391108633,   4,   4,   4
   1,   1,  53,     0.8683331521,   3,   3,   3
   1,   1,  54,     0.7391108633,   4,   4,   4
   1,   1,  55,     0.8683331521,   3,   3,   3
   1,   1,  56,     1.0817811716,   1,   1,   1
   1,   1,  57,     1.0019369426,   2,   2,   2
   1,   1,  58,     1.0019369426,   2,   2,   2
   1,   1,  59,     1.0019369426,   2,   2,   2
   1,   1,  60,     1.0019369426,   2,   2,   2
   1,   1,  61,     0.7391108633,   4,   4,   4
   1,   1,  62,     0.8683331521,   3,   3,   3
   1,   1,  63,     0.8683331521,   3,   3,   3
   1,   1,  64,     0.8683331521,   3,   3,   3
   1,   1,  65,     0.8683331521,   3,   3,   3
   1,   1,  66,     0.4030481596,   6,   6,   6
   1,   1,  67,     1.0817811716,   1,   1,   1
   1,   1,  68,     1.0817811716,   1,   1,   1
   1,   1,  69,     1.0817811716,   1,   1,   1
   1,   1,  70,     0.8683331521,   3,   3,   3
   1,   1,  71,     1.0817811716,   1,   1,   1
   1,   1,  72,     1.0817811716,   1,   1,   1
   1,   1,  73,     1.0817811716,   1,   1,   1
   1,   1,  74,     1.0817811716,   1,   1,   1
   1,   1,  75,     1.0019369426,   2,   2,   2
   1,   1,  76,     1.0817811716,   1,   1,   1
   1,   1,  77,     0.8683331521,   3,   3,   3
   1,   1,  78,     0.8683331521,   3,   3,   3
   1,   1,  79,     1.0019369426,   2,   2,   2
   1,   1,  80,     1.0817811716,   1,   1,   1
   1,   1,  81,     1.0019369426,   2,   2,   2
   1,   1,  82,     0.5466970669,   3,   3,   3
   1,   1,  83,     1.0690542842,   6,   6,   6
   1,   1,  84,     1.0690542842,   6,   6,   6
   1,   1,  85,     1.0690542842,   6,   6,   6
   1,   1,  86,     1.0690542842,   6,   6,   6
   1,   1,  87,     1.0690542842,   6,   6,   6
   1,   1,  88,     1.0690542842,   6,   6,   6
   1,   1,  89,     1.0308739562,   5,   5,   5
   1,   1,  90,     1.0690542842,   6,   6,   6
   1,   1,  91,     1.0690542842,   6,   6,   6
   1,   1,  92,     1.0690542842,   6,   6,   6
   1,   1,  93,     1.0690542842,   6,   6,   6
   1,   1,  94,     1.0690542842,   6,   6,   6
   1,   1,  95,     1.0690542842,   6,   6,   6
   1,   1,  96,     1.0690542842,   6,   6,   6
   1,   1,  97,     1.0308739562,   5,   5,   5
   1,   1,  98,     1.0690542842,   6,   6,   6
   1,   1,  99,     1.0690542842,   6,   6,   6
   1,   1, 100,     0.5466970669,   3,   3,   3
   1,   1, 101,     0.9046782286,   4,   4,   4
   1,   1, 102,    -0.1473767213,   2,   2,   2
   1,   1, 103,     1.0690542842,   6,   6,   6
   1,   1, 104,     1.0308739562,   5,   5,   5
   1,   1, 105,     1.0690542842,   6,   6,   6
   1,   1, 106,     1.0308739562,   5,   5,   5
   1,   1, 107,     1.0690542842,   6,   6,   6
   1,   1, 108,     1.0690542842,   6,   6,   6
   1,   1, 109,     1.0690542842,   6,   6,   6
   1,   1, 110,     1.0690542842,   6,   6,   6
   1,   1, 111,     1.0690542842,   6,   6,   6
   1,   1, 112,    -0.1473767213,   2,   2,   2
   1,   1, 113,     1.0308739562,   5,   5,   5
   1,   1, 114,     1.0690542842,   6,   6,   6
   1,   1, 115,     1.0690542842,   6,   6,   6
   1,   1, 116,     1.0308739562,   5,   5,   5
   1,   1, 117,     1.0690542842,   6,   6,   6
   1,   1, 118,     1.0690542842,   6,   6,   6
   1,   1, 119,     1.0690542842,   6,   6,   6
   1,   1, 120,     1.0690542842,   6,   6,   6
   1,   1, 121,     1.0690542842,   6,   6,   6
   1,   1, 122,     1.0690542842,   6,   6,   6
   1,   1, 123,     1.0690542842,   6,   6,   6
   1,   1, 124,     1.0690542842,   6,   6,   6
   1,   1, 125,     1.0308739562,   5,   5,   5
   1,   1, 126,     1.0690542842,   6,   6,   6
