 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.0058284690,   4,   4,   4
   1,   1,   2,     0.9016067154,   2,   2,   2
   1,   1,   3,     0.9016067154,   2,   2,   2
   1,   1,   4,     0.0058284690,   4,   4,   4
   1,   1,   5,     0.9016067154,   2,   2,   2
   1,   1,   6,     0.4367932938,   3,   3,   3
   1,   1,   7,     0.9016067154,   2,   2,   2
   1,   1,   8,     0.4367932938,   3,   3,   3
   1,   1,   9,     0.4367932938,   3,   3,   3
   1,   1,  10,     0.9016067154,   2,   2,   2
   1,   1,  11,     0.9016067154,   2,   2,   2
   1,   1,  12,     1.1859934488,   1,   1,   1
   1,   1,  13,     1.1859934488,   1,   1,   1
   1,   1,  14,     1.1859934488,   1,   1,   1
   1,   1,  15,     0.9016067154,   2,   2,   2
   1,   1,  16,     0.9016067154,   2,   2,   2
   1,   1,  17,     0.4367932938,   3,   3,   3
   1,   1,  18,     0.9016067154,   2,   2,   2
   1,   1,  19,     1.1859934488,   1,   1,   1
   1,   1,  20,     1.1859934488,   1,   1,   1
   1,   1,  21,     1.1859934488,   1,   1,   1
   1,   1,  22,     1.1859934488,   1,   1,   1
   1,   1,  23,     1.1859934488,   1,   1,   1
   1,   1,  24,     1.1859934488,   1,   1,   1
   1,   1,  25,     1.1859934488,   1,   1,   1
   1,   1,  26,     0.9016067154,   2,   2,   2
   1,   1,  27,     1.1859934488,   1,   1,   1
   1,   1,  28,     1.1859934488,   1,   1,   1
   1,   1,  29,     1.1859934488,   1,   1,   1
   1,   1,  30,     0.9016067154,   2,   2,   2
   1,   1,  31,     0.9016067154,   2,   2,   2
   1,   1,  32,     1.1859934488,   1,   1,   1
   1,   1,  33,     0.9016067154,   2,   2,   2
   1,   1,  34,     0.4367932938,   3,   3,   3
   1,   1,  35,     0.4367932938,   3,   3,   3
   1,   1,  36,     0.4367932938,   3,   3,   3
   1,   1,  37,     0.4367932938,   3,   3,   3
   1,   1,  38,     0.9016067154,   2,   2,   2
   1,   1,  39,     0.4367932938,   3,   3,   3
   1,   1,  40,     0.9016067154,   2,   2,   2
   1,   1,  41,     0.9016067154,   2,   2,   2
   1,   1,  42,     0.9016067154,   2,   2,   2
   1,   1,  43,     1.1859934488,   1,   1,   1
   1,   1,  44,     0.4367932938,   3,   3,   3
   1,   1,  45,     0.4367932938,   3,   3,   3
   1,   1,  46,     0.9016067154,   2,   2,   2
   1,   1,  47,     0.9016067154,   2,   2,   2
   1,   1,  48,     0.9016067154,   2,   2,   2
   1,   1,  49,     1.1073424471,   4,   4,   4
   1,   1,  50,     1.1073424471,   4,   4,   4
   1,   1,  51,     1.1078365617,   5,   5,   5
   1,   1,  52,     1.1073424471,   4,   4,   4
   1,   1,  53,     1.1078365617,   5,   5,   5
   1,   1,  54,     0.2958316471,   2,   2,   2
   1,   1,  55,     0.2958316471,   2,   2,   2
   1,   1,  56,     0.9564556981,   3,   3,   3
   1,   1,  57,     1.1078365617,   5,   5,   5
   1,   1,  58,     1.1073424471,   4,   4,   4
   1,   1,  59,     1.1073424471,   4,   4,   4
   1,   1,  60,     1.1073424471,   4,   4,   4
   1,   1,  61,    -0.5655563909,   1,   1,   1
   1,   1,  62,     0.2958316471,   2,   2,   2
   1,   1,  63,     0.9564556981,   3,   3,   3
   1,   1,  64,     0.9564556981,   3,   3,   3
   1,   1,  65,     1.1078365617,   5,   5,   5
   1,   1,  66,     1.1073424471,   4,   4,   4
   1,   1,  67,     1.1073424471,   4,   4,   4
   1,   1,  68,     1.1073424471,   4,   4,   4
   1,   1,  69,     1.1078365617,   5,   5,   5
   1,   1,  70,     1.1078365617,   5,   5,   5
   1,   1,  71,     1.1073424471,   4,   4,   4
   1,   1,  72,     0.9564556981,   3,   3,   3
   1,   1,  73,     0.9564556981,   3,   3,   3
   1,   1,  74,     1.1073424471,   4,   4,   4
   1,   1,  75,     1.1073424471,   4,   4,   4
   1,   1,  76,     1.1073424471,   4,   4,   4
   1,   1,  77,     1.1073424471,   4,   4,   4
   1,   1,  78,     0.2958316471,   2,   2,   2
   1,   1,  79,     1.1073424471,   4,   4,   4
   1,   1,  80,     0.9564556981,   3,   3,   3
   1,   1,  81,    -0.5655563909,   1,   1,   1
   1,   1,  82,     0.9564556981,   3,   3,   3
   1,   1,  83,     1.1073424471,   4,   4,   4
   1,   1,  84,     0.9564556981,   3,   3,   3
   1,   1,  85,     0.9564556981,   3,   3,   3
   1,   1,  86,     0.9564556981,   3,   3,   3
   1,   1,  87,     1.1078365617,   5,   5,   5
   1,   1,  88,     1.1073424471,   4,   4,   4
   1,   1,  89,     1.1073424471,   4,   4,   4
   1,   1,  90,     1.1073424471,   4,   4,   4
   1,   1,  91,     1.1073424471,   4,   4,   4
   1,   1,  92,     0.2958316471,   2,   2,   2
   1,   1,  93,     0.2958316471,   2,   2,   2
   1,   1,  94,     0.9564556981,   3,   3,   3
   1,   1,  95,     1.1073424471,   4,   4,   4
   1,   1,  96,     1.1073424471,   4,   4,   4
   1,   1,  97,     0.9564556981,   3,   3,   3
   1,   1,  98,    -0.5655563909,   1,   1,   1
   1,   1,  99,    -0.5655563909,   1,   1,   1
   1,   1, 100,     0.9564556981,   3,   3,   3
   1,   1, 101,     1.1073424471,   4,   4,   4
   1,   1, 102,     0.2958316471,   2,   2,   2
   1,   1, 103,     1.1073424471,   4,   4,   4
   1,   1, 104,     0.2958316471,   2,   2,   2
   1,   1, 105,     0.2958316471,   2,   2,   2
   1,   1, 106,     0.2958316471,   2,   2,   2
   1,   1, 107,     0.9564556981,   3,   3,   3
   1,   1, 108,     0.9564556981,   3,   3,   3
   1,   1, 109,     1.1073424471,   4,   4,   4
   1,   1, 110,     1.1078365617,   5,   5,   5
   1,   1, 111,     1.1078365617,   5,   5,   5
   1,   1, 112,     1.1078365617,   5,   5,   5
   2,   1,   1,     1.1618201634,   1,   1,   1
   2,   1,   2,     1.1618201634,   1,   1,   1
   2,   1,   3,    -0.2992523789,   4,   4,   4
   2,   1,   4,     1.1618201634,   1,   1,   1
   2,   1,   5,     1.1618201634,   1,   1,   1
   2,   1,   6,     0.4350187008,   3,   3,   3
   2,   1,   7,     0.7592375390,   2,   2,   2
   2,   1,   8,     0.4350187008,   3,   3,   3
   2,   1,   9,     0.4350187008,   3,   3,   3
   2,   1,  10,     1.1618201634,   1,   1,   1
   2,   1,  11,     1.1618201634,   1,   1,   1
   2,   1,  12,     1.1618201634,   1,   1,   1
   2,   1,  13,     1.1618201634,   1,   1,   1
   2,   1,  14,     1.1618201634,   1,   1,   1
   2,   1,  15,     1.1618201634,   1,   1,   1
   2,   1,  16,     1.1618201634,   1,   1,   1
   2,   1,  17,     0.4350187008,   3,   3,   3
   2,   1,  18,     0.7592375390,   2,   2,   2
   2,   1,  19,     1.1618201634,   1,   1,   1
   2,   1,  20,    -1.1004532806,   5,   5,   5
   2,   1,  21,     1.1618201634,   1,   1,   1
   2,   1,  22,     0.4350187008,   3,   3,   3
   2,   1,  23,     1.1618201634,   1,   1,   1
   2,   1,  24,     1.1618201634,   1,   1,   1
   2,   1,  25,     1.1618201634,   1,   1,   1
   2,   1,  26,     1.1618201634,   1,   1,   1
   2,   1,  27,     1.1618201634,   1,   1,   1
   2,   1,  28,     1.1618201634,   1,   1,   1
   2,   1,  29,     1.1618201634,   1,   1,   1
   2,   1,  30,     1.1618201634,   1,   1,   1
   2,   1,  31,     1.1618201634,   1,   1,   1
   2,   1,  32,     1.1618201634,   1,   1,   1
   2,   1,  33,     0.7592375390,   2,   2,   2
