 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.9136817640,   2,   2,   2
   1,   1,   2,     0.4021088468,   3,   3,   3
   1,   1,   3,     0.9136817640,   2,   2,   2
   1,   1,   4,     0.9136817640,   2,   2,   2
   1,   1,   5,     1.2020459796,   1,   1,   1
   1,   1,   6,     0.4021088468,   3,   3,   3
   1,   1,   7,     0.4021088468,   3,   3,   3
   1,   1,   8,     1.2020459796,   1,   1,   1
   1,   1,   9,    -0.7704234431,   4,   4,   4
   1,   1,  10,    -0.7704234431,   4,   4,   4
   1,   1,  11,     1.2020459796,   1,   1,   1
   1,   1,  12,     1.2020459796,   1,   1,   1
   1,   1,  13,     0.4021088468,   3,   3,   3
   1,   1,  14,     0.9136817640,   2,   2,   2
   1,   1,  15,     0.9136817640,   2,   2,   2
   1,   1,  16,     0.4021088468,   3,   3,   3
   1,   1,  17,     1.2020459796,   1,   1,   1
   1,   1,  18,     0.9136817640,   2,   2,   2
   1,   1,  19,     1.2020459796,   1,   1,   1
   1,   1,  20,     0.9136817640,   2,   2,   2
   1,   1,  21,     0.4021088468,   3,   3,   3
   1,   1,  22,     0.4021088468,   3,   3,   3
   1,   1,  23,     1.2020459796,   1,   1,   1
   1,   1,  24,     0.4021088468,   3,   3,   3
   1,   1,  25,     0.9136817640,   2,   2,   2
   1,   1,  26,     0.4021088468,   3,   3,   3
   1,   1,  27,     0.9136817640,   2,   2,   2
   1,   1,  28,     0.9136817640,   2,   2,   2
   1,   1,  29,     1.2020459796,   1,   1,   1
   1,   1,  30,     0.4021088468,   3,   3,   3
   1,   1,  31,     0.4021088468,   3,   3,   3
   1,   1,  32,     1.2020459796,   1,   1,   1
   1,   1,  33,     0.9136817640,   2,   2,   2
   1,   1,  34,     1.2020459796,   1,   1,   1
   1,   1,  35,     0.9136817640,   2,   2,   2
   1,   1,  36,     0.4021088468,   3,   3,   3
   1,   1,  37,     1.2020459796,   1,   1,   1
   1,   1,  38,    -0.7704234431,   4,   4,   4
   1,   1,  39,     0.9136817640,   2,   2,   2
   1,   1,  40,     0.9136817640,   2,   2,   2
   1,   1,  41,     0.4021088468,   3,   3,   3
   1,   1,  42,     1.2020459796,   1,   1,   1
   1,   1,  43,     0.4021088468,   3,   3,   3
   1,   1,  44,     1.2020459796,   1,   1,   1
   1,   1,  45,     0.9136817640,   2,   2,   2
   1,   1,  46,     1.2020459796,   1,   1,   1
   1,   1,  47,     0.9136817640,   2,   2,   2
   1,   1,  48,     0.4021088468,   3,   3,   3
   1,   1,  49,     0.9136817640,   2,   2,   2
   1,   1,  50,     1.2020459796,   1,   1,   1
   1,   1,  51,     0.9281854104,   3,   3,   3
   1,   1,  52,     0.9281854104,   3,   3,   3
   1,   1,  53,     0.9281854104,   3,   3,   3
   1,   1,  54,    -0.8502780069,   1,   1,   1
   1,   1,  55,     0.9281854104,   3,   3,   3
   1,   1,  56,     0.9281854104,   3,   3,   3
   1,   1,  57,     0.9281854104,   3,   3,   3
   1,   1,  58,     0.9281854104,   3,   3,   3
   1,   1,  59,     0.9281854104,   3,   3,   3
   1,   1,  60,     0.1067239792,   2,   2,   2
   1,   1,  61,     0.9281854104,   3,   3,   3
   1,   1,  62,     0.9281854104,   3,   3,   3
   1,   1,  63,     0.1067239792,   2,   2,   2
   1,   1,  64,     1.3407830685,   4,   4,   4
   1,   1,  65,     1.3407830685,   4,   4,   4
   1,   1,  66,    -0.8502780069,   1,   1,   1
   1,   1,  67,     0.1067239792,   2,   2,   2
   1,   1,  68,     1.3407830685,   4,   4,   4
   1,   1,  69,     0.9281854104,   3,   3,   3
   1,   1,  70,     0.9281854104,   3,   3,   3
   1,   1,  71,    -0.8502780069,   1,   1,   1
   1,   1,  72,     0.9281854104,   3,   3,   3
   1,   1,  73,     0.1067239792,   2,   2,   2
   1,   1,  74,     0.9281854104,   3,   3,   3
   1,   1,  75,     0.9281854104,   3,   3,   3
   1,   1,  76,     0.9281854104,   3,   3,   3
   1,   1,  77,     1.3407830685,   4,   4,   4
   1,   1,  78,     1.5473926762,   5,   5,   5
   1,   1,  79,     0.9281854104,   3,   3,   3
   1,   1,  80,     0.9281854104,   3,   3,   3
   1,   1,  81,     1.3407830685,   4,   4,   4
   1,   1,  82,     0.9281854104,   3,   3,   3
   1,   1,  83,     1.3407830685,   4,   4,   4
   1,   1,  84,     0.9281854104,   3,   3,   3
   1,   1,  85,     1.3407830685,   4,   4,   4
   1,   1,  86,     0.9281854104,   3,   3,   3
   1,   1,  87,     0.9281854104,   3,   3,   3
   1,   1,  88,    -0.8502780069,   1,   1,   1
   1,   1,  89,     0.9281854104,   3,   3,   3
   1,   1,  90,     0.9281854104,   3,   3,   3
   2,   1,   1,     1.3480071739,   1,   1,   1
   2,   1,   2,     0.3182360936,   3,   3,   3
   2,   1,   3,     0.3182360936,   3,   3,   3
   2,   1,   4,     1.3480071739,   1,   1,   1
   2,   1,   5,     1.3480071739,   1,   1,   1
   2,   1,   6,     0.3182360936,   3,   3,   3
   2,   1,   7,     0.3182360936,   3,   3,   3
   2,   1,   8,     1.3480071739,   1,   1,   1
   2,   1,   9,     0.3182360936,   3,   3,   3
   2,   1,  10,     0.1120829490,   4,   4,   4
   2,   1,  11,     0.3182360936,   3,   3,   3
   2,   1,  12,     0.7312466485,   2,   2,   2
   2,   1,  13,     1.3480071739,   1,   1,   1
