 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.8213354305,   2,   2,   2
   1,   1,   2,     0.8213354305,   2,   2,   2
   1,   1,   3,     1.1479703882,   1,   1,   1
   1,   1,   4,     1.1479703882,   1,   1,   1
   1,   1,   5,     0.8213354305,   2,   2,   2
   1,   1,   6,     0.4826226665,   3,   3,   3
   1,   1,   7,     0.8213354305,   2,   2,   2
   1,   1,   8,     1.1479703882,   1,   1,   1
   1,   1,   9,     1.1479703882,   1,   1,   1
   1,   1,  10,    -0.8461641456,   6,   6,   6
   1,   1,  11,     0.4826226665,   3,   3,   3
   1,   1,  12,     0.4826226665,   3,   3,   3
   1,   1,  13,     1.1479703882,   1,   1,   1
   1,   1,  14,     0.8213354305,   2,   2,   2
   1,   1,  15,     0.4826226665,   3,   3,   3
   1,   1,  16,     1.1479703882,   1,   1,   1
   1,   1,  17,     0.4826226665,   3,   3,   3
   1,   1,  18,     1.1479703882,   1,   1,   1
   1,   1,  19,    -0.8461641456,   6,   6,   6
   1,   1,  20,     1.1479703882,   1,   1,   1
   1,   1,  21,     0.8213354305,   2,   2,   2
   1,   1,  22,     0.8213354305,   2,   2,   2
   1,   1,  23,     0.1062185777,   4,   4,   4
   1,   1,  24,     0.8213354305,   2,   2,   2
   1,   1,  25,     1.1479703882,   1,   1,   1
   1,   1,  26,     0.8213354305,   2,   2,   2
   1,   1,  27,     0.8213354305,   2,   2,   2
   1,   1,  28,     0.4826226665,   3,   3,   3
   1,   1,  29,     0.8213354305,   2,   2,   2
   1,   1,  30,     0.8213354305,   2,   2,   2
   1,   1,  31,     0.1062185777,   4,   4,   4
   1,   1,  32,     0.8213354305,   2,   2,   2
   1,   1,  33,    -0.3108826144,   5,   5,   5
   1,   1,  34,     1.1479703882,   1,   1,   1
   1,   1,  35,    -0.3108826144,   5,   5,   5
   1,   1,  36,     0.8213354305,   2,   2,   2
   1,   1,  37,     0.8213354305,   2,   2,   2
   1,   1,  38,     1.1479703882,   1,   1,   1
   1,   1,  39,     1.1479703882,   1,   1,   1
   1,   1,  40,     0.8213354305,   2,   2,   2
   1,   1,  41,     1.1479703882,   1,   1,   1
   1,   1,  42,     1.1479703882,   1,   1,   1
   1,   1,  43,     0.1062185777,   4,   4,   4
   1,   1,  44,     1.1479703882,   1,   1,   1
   1,   1,  45,     0.8213354305,   2,   2,   2
   1,   1,  46,     0.4826226665,   3,   3,   3
   1,   1,  47,     0.8213354305,   2,   2,   2
   1,   1,  48,     0.8213354305,   2,   2,   2
   1,   1,  49,     0.8213354305,   2,   2,   2
   1,   1,  50,     0.8213354305,   2,   2,   2
   1,   1,  51,     1.1479703882,   1,   1,   1
   1,   1,  52,     0.8213354305,   2,   2,   2
   1,   1,  53,     0.8213354305,   2,   2,   2
   1,   1,  54,     0.8213354305,   2,   2,   2
   1,   1,  55,     0.8213354305,   2,   2,   2
   1,   1,  56,     0.8213354305,   2,   2,   2
   1,   1,  57,     0.8213354305,   2,   2,   2
   1,   1,  58,     1.1479703882,   1,   1,   1
   1,   1,  59,     1.1479703882,   1,   1,   1
   1,   1,  60,     0.8213354305,   2,   2,   2
   1,   1,  61,     0.8213354305,   2,   2,   2
   1,   1,  62,     1.1479703882,   1,   1,   1
   1,   1,  63,     1.1479703882,   1,   1,   1
   1,   1,  64,    -0.3108826144,   5,   5,   5
   1,   1,  65,     1.1479703882,   1,   1,   1
   1,   1,  66,     1.1479703882,   1,   1,   1
   1,   1,  67,     0.8213354305,   2,   2,   2
   1,   1,  68,     1.1479703882,   1,   1,   1
   1,   1,  69,     0.4826226665,   3,   3,   3
   1,   1,  70,     1.1479703882,   1,   1,   1
   1,   1,  71,     0.8213354305,   2,   2,   2
   1,   1,  72,     0.8213354305,   2,   2,   2
   1,   1,  73,     0.8213354305,   2,   2,   2
   1,   1,  74,     0.8213354305,   2,   2,   2
   1,   1,  75,     0.8213354305,   2,   2,   2
   1,   1,  76,     0.4826226665,   3,   3,   3
   1,   1,  77,     1.1479703882,   1,   1,   1
   1,   1,  78,     1.1479703882,   1,   1,   1
   1,   1,  79,     1.1479703882,   1,   1,   1
   1,   1,  80,     0.8213354305,   2,   2,   2
   1,   1,  81,     0.8213354305,   2,   2,   2
   1,   1,  82,     1.1479703882,   1,   1,   1
   1,   1,  83,     0.8213354305,   2,   2,   2
   1,   1,  84,     0.8213354305,   2,   2,   2
   1,   1,  85,     0.8213354305,   2,   2,   2
   1,   1,  86,     1.1479703882,   1,   1,   1
   1,   1,  87,     1.1479703882,   1,   1,   1
   1,   1,  88,     0.4826226665,   3,   3,   3
   1,   1,  89,     1.1479703882,   1,   1,   1
   1,   1,  90,     0.8213354305,   2,   2,   2
   1,   1,  91,     0.8213354305,   2,   2,   2
   1,   1,  92,     0.8213354305,   2,   2,   2
   1,   1,  93,     0.8213354305,   2,   2,   2
   1,   1,  94,     1.1479703882,   1,   1,   1
   1,   1,  95,     0.8213354305,   2,   2,   2
   1,   1,  96,     0.8213354305,   2,   2,   2
   1,   1,  97,     1.0853497782,   4,   4,   4
   1,   1,  98,     1.1617307931,   5,   5,   5
   1,   1,  99,     1.2327726938,   6,   6,   6
   1,   1, 100,    -0.7081129082,   1,   1,   1
   1,   1, 101,    -0.7081129082,   1,   1,   1
   1,   1, 102,     1.0853497782,   4,   4,   4
   1,   1, 103,     0.9411135219,   3,   3,   3
   1,   1, 104,     0.4266922989,   2,   2,   2
   1,   1, 105,    -0.7081129082,   1,   1,   1
   1,   1, 106,     0.9411135219,   3,   3,   3
   1,   1, 107,     0.9411135219,   3,   3,   3
   1,   1, 108,     1.0853497782,   4,   4,   4
   1,   1, 109,     1.1617307931,   5,   5,   5
   1,   1, 110,     1.0853497782,   4,   4,   4
