 R,T,C,P,IC,RC,CC
   1,   1,   1,     1.0456422116,   1,   1,   1
   1,   1,   2,     1.0456422116,   1,   1,   1
   1,   1,   3,     1.0456422116,   1,   1,   1
   1,   1,   4,     0.5656681311,   4,   4,   4
   1,   1,   5,     1.0456422116,   1,   1,   1
   1,   1,   6,     0.5656681311,   4,   4,   4
   1,   1,   7,     1.0456422116,   1,   1,   1
   1,   1,   8,     0.1870600371,   5,   5,   5
   1,   1,   9,     1.0456422116,   1,   1,   1
   1,   1,  10,     0.8798872809,   3,   3,   3
   1,   1,  11,     1.0456422116,   1,   1,   1
   1,   1,  12,     0.1870600371,   5,   5,   5
   1,   1,  13,     1.0456422116,   1,   1,   1
   1,   1,  14,     0.5656681311,   4,   4,   4
   1,   1,  15,     1.0456422116,   1,   1,   1
   1,   1,  16,     0.5656681311,   4,   4,   4
   1,   1,  17,     1.0456422116,   1,   1,   1
   1,   1,  18,     0.9956465579,   2,   2,   2
   1,   1,  19,     0.9956465579,   2,   2,   2
   1,   1,  20,     0.8798872809,   3,   3,   3
   1,   1,  21,     0.9956465579,   2,   2,   2
   1,   1,  22,     1.0456422116,   1,   1,   1
   1,   1,  23,     1.0456422116,   1,   1,   1
   1,   1,  24,     1.0456422116,   1,   1,   1
   1,   1,  25,     1.0456422116,   1,   1,   1
   1,   1,  26,     1.0456422116,   1,   1,   1
   1,   1,  27,     1.0456422116,   1,   1,   1
   1,   1,  28,     1.0456422116,   1,   1,   1
   1,   1,  29,     0.9956465579,   2,   2,   2
   1,   1,  30,     1.0456422116,   1,   1,   1
   1,   1,  31,     0.8798872809,   3,   3,   3
   1,   1,  32,     0.8798872809,   3,   3,   3
   1,   1,  33,     0.8798872809,   3,   3,   3
   1,   1,  34,     1.0456422116,   1,   1,   1
   1,   1,  35,     0.9956465579,   2,   2,   2
   1,   1,  36,     0.5656681311,   4,   4,   4
   1,   1,  37,     1.0456422116,   1,   1,   1
   1,   1,  38,     0.8798872809,   3,   3,   3
   1,   1,  39,     1.0456422116,   1,   1,   1
   1,   1,  40,     1.0456422116,   1,   1,   1
   1,   1,  41,     0.5656681311,   4,   4,   4
   1,   1,  42,     1.0456422116,   1,   1,   1
   1,   1,  43,     0.5656681311,   4,   4,   4
   1,   1,  44,     0.9956465579,   2,   2,   2
   1,   1,  45,     1.0456422116,   1,   1,   1
   1,   1,  46,     0.8798872809,   3,   3,   3
   1,   1,  47,     0.1870600371,   5,   5,   5
   1,   1,  48,     1.0456422116,   1,   1,   1
   1,   1,  49,     0.8798872809,   3,   3,   3
   1,   1,  50,     1.0456422116,   1,   1,   1
   1,   1,  51,     1.0456422116,   1,   1,   1
   1,   1,  52,     0.8798872809,   3,   3,   3
   1,   1,  53,     0.9956465579,   2,   2,   2
   1,   1,  54,     1.0456422116,   1,   1,   1
   1,   1,  55,     0.9956465579,   2,   2,   2
   1,   1,  56,     0.5656681311,   4,   4,   4
   1,   1,  57,     0.5656681311,   4,   4,   4
   1,   1,  58,     0.5656681311,   4,   4,   4
   1,   1,  59,     0.8798872809,   3,   3,   3
   1,   1,  60,     0.8798872809,   3,   3,   3
   1,   1,  61,     1.0456422116,   1,   1,   1
   1,   1,  62,     0.8798872809,   3,   3,   3
   1,   1,  63,     0.9956465579,   2,   2,   2
   1,   1,  64,     0.9956465579,   2,   2,   2
   1,   1,  65,     1.0456422116,   1,   1,   1
   1,   1,  66,     1.0456422116,   1,   1,   1
   1,   1,  67,     1.0456422116,   1,   1,   1
