 R,T,C,P,IC,RC,CC
   1,   1,   1,     0.6618975190,   6,   6,   6
   1,   1,   2,     0.9160101592,   4,   4,   4
   1,   1,   3,     0.2889365355,   7,   7,   7
   1,   1,   4,     0.9389380802,   1,   1,   1
   1,   1,   5,     0.9389380802,   1,   1,   1
   1,   1,   6,     0.9389380802,   1,   1,   1
   1,   1,   7,     0.9389380802,   1,   1,   1
   1,   1,   8,     0.8319027279,   5,   5,   5
   1,   1,   9,     0.9389380802,   1,   1,   1
   1,   1,  10,     0.9389380802,   1,   1,   1
   1,   1,  11,     0.9160101592,   4,   4,   4
   1,   1,  12,     0.9250736287,   3,   3,   3
   1,   1,  13,     0.9160101592,   4,   4,   4
   1,   1,  14,     0.9389380802,   1,   1,   1
   1,   1,  15,     0.9389380802,   1,   1,   1
   1,   1,  16,     0.6618975190,   6,   6,   6
   1,   1,  17,     0.9389380802,   1,   1,   1
   1,   1,  18,     0.8319027279,   5,   5,   5
   1,   1,  19,     0.6618975190,   6,   6,   6
   1,   1,  20,     0.9250736287,   3,   3,   3
   1,   1,  21,     0.9250736287,   3,   3,   3
   1,   1,  22,     0.9389380802,   1,   1,   1
   1,   1,  23,     0.9329111067,   2,   2,   2
   1,   1,  24,     0.9250736287,   3,   3,   3
   1,   1,  25,     0.9389380802,   1,   1,   1
   1,   1,  26,     0.9160101592,   4,   4,   4
   1,   1,  27,     0.9329111067,   2,   2,   2
   1,   1,  28,     0.9160101592,   4,   4,   4
   1,   1,  29,     0.9389380802,   1,   1,   1
   1,   1,  30,     0.8319027279,   5,   5,   5
   1,   1,  31,     0.9160101592,   4,   4,   4
   1,   1,  32,     0.6618975190,   6,   6,   6
   1,   1,  33,     0.6618975190,   6,   6,   6
   1,   1,  34,     0.8319027279,   5,   5,   5
   1,   1,  35,     0.9389380802,   1,   1,   1
   1,   1,  36,     0.9160101592,   4,   4,   4
   1,   1,  37,     0.9160101592,   4,   4,   4
   1,   1,  38,     0.9389380802,   1,   1,   1
   1,   1,  39,     0.9389380802,   1,   1,   1
   1,   1,  40,     0.9389380802,   1,   1,   1
   1,   1,  41,     0.9389380802,   1,   1,   1
   1,   1,  42,     0.9389380802,   1,   1,   1
   1,   1,  43,     0.9250736287,   3,   3,   3
   1,   1,  44,     0.9160101592,   4,   4,   4
   1,   1,  45,     0.8319027279,   5,   5,   5
   1,   1,  46,     0.4095928364,   5,   5,   5
   1,   1,  47,     1.1508084560,   8,   8,   8
   1,   1,  48,     1.0339716128,   7,   7,   7
   1,   1,  49,     1.1508084560,   8,   8,   8
   1,   1,  50,     1.1508084560,   8,   8,   8
   1,   1,  51,     0.3099805993,   4,   4,   4
   1,   1,  52,     1.1508084560,   8,   8,   8
   1,   1,  53,     1.1508084560,   8,   8,   8
   1,   1,  54,     0.2338092789,   1,   1,   1
   1,   1,  55,     0.2510806450,   2,   2,   2
   1,   1,  56,     0.2338092789,   1,   1,   1
   1,   1,  57,     1.1508084560,   8,   8,   8
   1,   1,  58,     1.1508084560,   8,   8,   8
   1,   1,  59,     1.1508084560,   8,   8,   8
   1,   1,  60,     0.2338092789,   1,   1,   1
   1,   1,  61,     1.1508084560,   8,   8,   8
   1,   1,  62,     1.1508084560,   8,   8,   8
   1,   1,  63,     1.0339716128,   7,   7,   7
   1,   1,  64,     0.4095928364,   5,   5,   5
   1,   1,  65,     1.1508084560,   8,   8,   8
   1,   1,  66,     0.4095928364,   5,   5,   5
   1,   1,  67,     0.4095928364,   5,   5,   5
   1,   1,  68,     1.1508084560,   8,   8,   8
   1,   1,  69,     1.1508084560,   8,   8,   8
   1,   1,  70,     1.1508084560,   8,   8,   8
   1,   1,  71,     1.1508084560,   8,   8,   8
   1,   1,  72,     0.4095928364,   5,   5,   5
   1,   1,  73,     0.4095928364,   5,   5,   5
   1,   1,  74,     1.1508084560,   8,   8,   8
   1,   1,  75,     1.0339716128,   7,   7,   7
   1,   1,  76,     1.1508084560,   8,   8,   8
   1,   1,  77,     1.1508084560,   8,   8,   8
   1,   1,  78,     1.1508084560,   8,   8,   8
   1,   1,  79,     1.1508084560,   8,   8,   8
   1,   1,  80,     1.1508084560,   8,   8,   8
   1,   1,  81,     1.1508084560,   8,   8,   8
   1,   1,  82,     0.2643931682,   3,   3,   3
   1,   1,  83,     1.1508084560,   8,   8,   8
   1,   1,  84,     1.1508084560,   8,   8,   8
   1,   1,  85,     1.1508084560,   8,   8,   8
